コード,銘柄名,price,volume,marketCapacity,pbr,per
2462,ライク,1533,20700,29418369024,1.681666,14.025618
2471,エスプール,279,481200,21790918656,2.2872791,12.062257
2475,ＷＤＢホールディングス,1661,7900,32620322816,0.99909115,10.695428
2491,バリューコマース,669,312700,14501463040,1.0369296,4.5269995
2492,インフォマート,422,1546600,95533064192,8.151281,75.22282
2531,宝ホールディングス,1626,548900,313612828672,1.3220115,24.692484
2533,オエノンホールディングス,499,113800,28117010432,1.1143392,8.584208
2540,養命酒製造,4450,40500,61690544128,1.2970006,83.33333
256A,飛島ホールディングス,2451,88500,46944194560,0.9192849,12.61062
2579,コカ・コーラ　ボトラーズジャパンホールディングス,3291,988900,545364443136,1.4347827,0.0
2585,ライフドリンク　カンパニー,1736,476500,90077536256,5.8115597,24.754028
2587,サントリー食品インターナショナル,4835,479400,1494013575168,1.192907,16.948856
2590,ダイドーグループホールディングス,2519,136100,79714713600,0.85908073,0.0
2593,伊藤園,3028,374000,348751200256,1.9023339,24.692163
25935,伊藤園第１種優先株式,1832,25700,307689881600,1.1509497,14.947781
2594,キーコーヒー,2000,52500,42846904320,1.3712766,73.52941
2602,日清オイリオグループ,5330,45200,164250451968,0.8315886,7.17362
2607,不二製油,3871,172100,332838535168,1.5175929,38.021805
2613,Ｊ－オイルミルズ,2036,44400,67349938176,0.62898403,13.003768
262A,インターメスティック,1893,206900,57925799936,2.219549,14.34743
2659,サンエー,3015,189800,186470678528,1.2125098,16.339691
2664,カワチ薬品,3030,41900,67672772608,0.5878302,14.641218
2670,エービーシー・マート,2540,1396300,629070102528,1.6448636,13.812321
2674,ハードオフコーポレーション,2029,38500,28195360768,1.5514972,12.706664
2676,高千穂交易,2037,43000,38050263040,2.2436614,44.83821
2678,アスクル,1411,281400,126339530752,1.8041148,14.793458
2681,ゲオホールディングス,1892,96700,75270332416,0.8095846,15.266683
2685,アンドエスティＨＤ,2854,205100,131649863680,1.6107259,15.266931
268A,リガク・ホールディングス,1200,821300,271907274752,3.3522737,25.773195
2692,伊藤忠食品,11340,9000,143869542400,1.1798679,17.54386
2695,くら寿司,3355,267900,133342879744,2.0522776,37.034996
2726,パルグループホールディングス,1988,785800,345208782848,4.6132355,27.398016
2730,エディオン,2110,221100,223111725056,0.97240174,16.694359
2733,あらた,3070,41200,102776356864,0.85137564,10.695002
2734,サーラコーポレーション,1152,238600,73978167296,0.8524487,14.814815
2737,トーメンデバイス,12580,101300,85555552256,1.6476754,13.495248
2742,ハローズ,4620,17700,98574082048,1.3130296,11.025464
2749,ＪＰホールディングス,721,168100,61702545408,3.0363903,16.41995
2752,フジオフードグループ本社,1101,203200,56445476864,6.546674,667.27277
2753,あみやき亭,1399,58800,28743532544,1.3016727,19.723671
2760,東京エレクトロン　デバイス,3305,101200,97089044480,2.055099,13.793247
2767,円谷フィールズホールディングス,1800,310200,112015515648,1.9360418,6.285355
2784,アルフレッサ　ホールディングス,2523,280700,458476158976,0.9398489,18.587004
2791,大黒天物産,5770,49600,79908110336,1.2978417,11.876583
2792,ハニーズホールディングス,1485,175600,41394040832,0.8575656,12.091849
2804,ブルドックソース,1914,30600,24311087104,1.007598,9.930476
2809,キユーピー,4206,456000,567892049920,1.8612176,21.097511
2810,ハウス食品グループ本社,2900,170700,266677927936,0.9287318,21.59878
2811,カゴメ,2703,218400,245645819904,1.3746727,18.51839
2815,アリアケジャパン,5360,40100,170708107264,1.3215095,16.666666
285A,キオクシアホールディングス,12690,30583300,6860590022656,8.361033,44.05332
2874,横浜冷凍,1220,132100,71973011456,0.89167076,36.363636
2875,東洋水産,10710,470100,1043407175680,2.1385305,17.006748
2882,イートアンドホールディングス,2044,18100,23214923776,2.0891764,78.13456
2884,ヨシムラ・フード・ホールディングス,740,82400,17667119104,1.534003,11.147937
2897,日清食品ホールディングス,2912,967700,835910959104,1.7351376,17.667757
