対象日付,コード,銘柄名,株価換算係数,業種,セクター
"2026/01/09","1332","ニッスイ","1.0","水産","消費"
"2026/01/09","1605","ＩＮＰＥＸ","0.4","鉱業","素材"
"2026/01/09","1721","コムシスホールディングス","1.0","建設","資本財・その他"
"2026/01/09","1801","大成建設","0.2","建設","資本財・その他"
"2026/01/09","1802","大林組","1.0","建設","資本財・その他"
"2026/01/09","1803","清水建設","1.0","建設","資本財・その他"
"2026/01/09","1808","長谷工コーポレーション","0.2","建設","資本財・その他"
"2026/01/09","1812","鹿島建設","0.5","建設","資本財・その他"
"2026/01/09","1925","大和ハウス工業","1.0","建設","資本財・その他"
"2026/01/09","1928","積水ハウス","1.0","建設","資本財・その他"
"2026/01/09","1963","日揮ホールディングス","1.0","建設","資本財・その他"
"2026/01/09","2002","日清製粉グループ本社","1.0","食品","消費"
"2026/01/09","2269","明治ホールディングス","0.4","食品","消費"
"2026/01/09","2282","日本ハム","0.5","食品","消費"
"2026/01/09","2413","エムスリー","2.4","サービス","消費"
"2026/01/09","2432","ディー・エヌ・エー","0.3","サービス","消費"
"2026/01/09","2501","サッポロホールディングス","1.0","食品","消費"
"2026/01/09","2502","アサヒグループホールディングス","3.0","食品","消費"
"2026/01/09","2503","キリンホールディングス","1.0","食品","消費"
"2026/01/09","2768","双日","0.1","商社","素材"
"2026/01/09","2801","キッコーマン","5.0","食品","消費"
"2026/01/09","2802","味の素","2.0","食品","消費"
"2026/01/09","2871","ニチレイ","1.0","食品","消費"
"2026/01/09","2914","日本たばこ産業","1.0","食品","消費"
"2026/01/09","3086","Ｊ．フロントリテイリング","0.5","小売業","消費"
"2026/01/09","3092","ＺＯＺＯ","3.0","小売業","消費"
"2026/01/09","3099","三越伊勢丹ホールディングス","1.0","小売業","消費"
"2026/01/09","3289","東急不動産ホールディングス","1.0","不動産","資本財・その他"
"2026/01/09","3382","セブン＆アイ・ホールディングス","3.0","小売業","消費"
"2026/01/09","3401","帝人","0.2","繊維","素材"
"2026/01/09","3402","東レ","1.0","繊維","素材"
"2026/01/09","3405","クラレ","1.0","化学","素材"
"2026/01/09","3407","旭化成","1.0","化学","素材"
"2026/01/09","3436","ＳＵＭＣＯ","0.1","非鉄・金属","素材"
"2026/01/09","3659","ネクソン","2.0","サービス","消費"
"2026/01/09","3697","ＳＨＩＦＴ","1.0","サービス","消費"
"2026/01/09","3861","王子ホールディングス","1.0","パルプ・紙","素材"
"2026/01/09","4004","レゾナック・ホールディングス","0.1","化学","素材"
"2026/01/09","4005","住友化学","1.0","化学","素材"
"2026/01/09","4021","日産化学","1.0","化学","素材"
"2026/01/09","4042","東ソー","0.5","化学","素材"
"2026/01/09","4043","トクヤマ","0.2","化学","素材"
"2026/01/09","4061","デンカ","0.2","化学","素材"
"2026/01/09","4062","イビデン","2.0","電気機器","技術"
"2026/01/09","4063","信越化学工業","5.0","化学","素材"
"2026/01/09","4151","協和キリン","1.0","医薬品","技術"
"2026/01/09","4183","三井化学","0.4","化学","素材"
"2026/01/09","4188","三菱ケミカルグループ","0.5","化学","素材"
"2026/01/09","4208","ＵＢＥ","0.1","化学","素材"
"2026/01/09","4307","野村総合研究所","1.0","サービス","消費"
"2026/01/09","4324","電通グループ","1.0","サービス","消費"
"2026/01/09","4385","メルカリ","1.0","サービス","消費"
"2026/01/09","4452","花王","1.0","化学","素材"
"2026/01/09","4502","武田薬品工業","1.0","医薬品","技術"
"2026/01/09","4503","アステラス製薬","5.0","医薬品","技術"
"2026/01/09","4506","住友ファーマ","1.0","医薬品","技術"
"2026/01/09","4507","塩野義製薬","3.0","医薬品","技術"
"2026/01/09","4519","中外製薬","3.0","医薬品","技術"
"2026/01/09","4523","エーザイ","1.0","医薬品","技術"
"2026/01/09","4543","テルモ","8.0","精密機器","技術"
"2026/01/09","4568","第一三共","3.0","医薬品","技術"
"2026/01/09","4578","大塚ホールディングス","1.0","医薬品","技術"
"2026/01/09","4661","オリエンタルランド","1.0","サービス","消費"
"2026/01/09","4689","ＬＩＮＥヤフー","0.4","サービス","消費"
"2026/01/09","4704","トレンドマイクロ","1.0","サービス","消費"
"2026/01/09","4751","サイバーエージェント","0.8","サービス","消費"
"2026/01/09","4755","楽天グループ","1.0","サービス","消費"
"2026/01/09","4901","富士フイルムホールディングス","3.0","化学","素材"
"2026/01/09","4902","コニカミノルタ","1.0","精密機器","技術"
"2026/01/09","4911","資生堂","1.0","化学","素材"
"2026/01/09","5019","出光興産","2.0","石油","素材"
"2026/01/09","5020","ＥＮＥＯＳホールディングス","1.0","石油","素材"
"2026/01/09","5101","横浜ゴム","0.5","ゴム","素材"
"2026/01/09","5108","ブリヂストン","2.0","ゴム","素材"
"2026/01/09","5201","ＡＧＣ","0.2","窯業","素材"
"2026/01/09","5214","日本電気硝子","0.3","窯業","素材"
"2026/01/09","5233","太平洋セメント","0.1","窯業","素材"
"2026/01/09","5301","東海カーボン","1.0","窯業","素材"
"2026/01/09","5332","ＴＯＴＯ","0.5","窯業","素材"
"2026/01/09","5333","日本碍子","1.0","窯業","素材"
"2026/01/09","5401","日本製鉄","0.5","鉄鋼","素材"
"2026/01/09","5406","神戸製鋼所","0.1","鉄鋼","素材"
"2026/01/09","5411","ＪＦＥホールディングス","0.1","鉄鋼","素材"
"2026/01/09","5631","日本製鋼所","0.2","機械","資本財・その他"
"2026/01/09","5706","三井金属","0.1","非鉄・金属","素材"
"2026/01/09","5711","三菱マテリアル","0.1","非鉄・金属","素材"
"2026/01/09","5713","住友金属鉱山","0.5","非鉄・金属","素材"
"2026/01/09","5714","ＤＯＷＡホールディングス","0.2","非鉄・金属","素材"
"2026/01/09","5801","古河電気工業","0.1","非鉄・金属","素材"
"2026/01/09","5802","住友電気工業","1.0","非鉄・金属","素材"
"2026/01/09","5803","フジクラ","1.0","非鉄・金属","素材"
"2026/01/09","5831","しずおかフィナンシャルグループ","1.0","銀行","金融"
"2026/01/09","6098","リクルートホールディングス","3.0","サービス","消費"
"2026/01/09","6103","オークマ","0.4","機械","資本財・その他"
"2026/01/09","6113","アマダ","1.0","機械","資本財・その他"
"2026/01/09","6146","ディスコ","0.2","精密機器","技術"
"2026/01/09","6178","日本郵政","1.0","サービス","消費"
"2026/01/09","6273","ＳＭＣ","0.1","機械","資本財・その他"
"2026/01/09","6301","小松製作所","1.0","機械","資本財・その他"
"2026/01/09","6302","住友重機械工業","0.2","機械","資本財・その他"
"2026/01/09","6305","日立建機","1.0","機械","資本財・その他"
"2026/01/09","6326","クボタ","1.0","機械","資本財・その他"
"2026/01/09","6361","荏原製作所","1.0","機械","資本財・その他"
"2026/01/09","6367","ダイキン工業","1.0","機械","資本財・その他"
"2026/01/09","6471","日本精工","1.0","機械","資本財・その他"
"2026/01/09","6472","ＮＴＮ","1.0","機械","資本財・その他"
"2026/01/09","6473","ジェイテクト","1.0","機械","資本財・その他"
"2026/01/09","6479","ミネベアミツミ","1.0","電気機器","技術"
"2026/01/09","6501","日立製作所","1.0","電気機器","技術"
"2026/01/09","6503","三菱電機","1.0","電気機器","技術"
"2026/01/09","6504","富士電機","0.2","電気機器","技術"
"2026/01/09","6506","安川電機","1.0","電気機器","技術"
"2026/01/09","6526","ソシオネクスト","1.0","電気機器","技術"
"2026/01/09","6532","ベイカレント","1.0","サービス","消費"
